year,title,imdbid,id,rating,directors,writers,cast,directors_male,directors_female,writers_male,writers_female,cast_male,cast_female
2005,Kiss Kiss Bang Bang,373469.0,229,1,1.0,3.0,17.0,1.0,0.0,3.0,0.0,33.0,16.0
2015,Avril et le monde truque,3422078.0,7219,3,2.0,4.0,9.0,2.0,0.0,5.0,1.0,14.0,5.0
2019,Rim of the World,8179388.0,8749,0,0.0,1.0,12.5,0.0,0.0,1.0,0.0,22.0,9.5
2009,Away We Go,1176740.0,804,3,0.5,0.0,24.0,0.5,0.0,1.0,1.0,52.0,28.0
2019,"Ground Beneath My Feet, The",7902124.0,9218,3,-1.0,-1.0,-2.0,0.0,1.0,0.0,1.0,16.0,18.0
2009,17 Again,974661.0,315,3,0.0,1.0,18.5,0.0,0.0,1.0,0.0,51.5,33.0
2006,Eragon,449010.0,1147,1,0.0,2.0,27.0,0.0,0.0,2.0,0.0,37.0,10.0
1977,Pete&#39;s Dragon,76538.0,8439,2,2.0,1.0,25.5,2.0,0.0,1.0,0.0,34.5,9.0
2014,Ardor,1384925.0,7086,0,1.0,1.0,8.0,1.0,0.0,1.0,0.0,10.0,2.0
2013,I Used to Be Darker,2147728.0,4743,3,1.0,0.0,7.0,1.0,0.0,1.0,1.0,10.5,3.5
2009,Carriers,806203.0,4763,3,1.0,1.0,5.5,1.0,0.0,1.0,0.0,9.0,3.5
2019,A Beautiful Day in the Neighborhood,3224458.0,8911,2,-1.0,3.0,13.0,0.0,1.0,3.0,0.0,53.5,40.5
2015,7 Letters,4691166.0,6775,3,3.0,4.0,0.0,3.0,0.0,4.0,0.0,5.5,5.5
2009,Transformers: Revenge of the Fallen,1055369.0,477,3,1.0,2.0,75.5,1.0,0.0,2.0,0.0,97.0,21.5
1953,It Came from Outer Space,45920.0,8634,2,1.0,1.5,14.0,1.0,0.0,1.5,0.0,17.0,3.0
1974,Godzilla vs. Mechagodzilla,71565.0,6480,1,0.5,2.0,10.5,0.5,0.0,2.5,0.5,12.0,1.5
2006,Bordertown,445935.0,4939,3,1.0,1.0,11.0,1.0,0.0,1.0,0.0,24.5,13.5
2006,High School Musical,475293.0,5249,3,1.0,1.0,4.0,1.0,0.0,1.0,0.0,28.5,24.5
1985,Tomo yo shizukani nemure,380761.0,676,2,0.0,2.0,3.5,0.0,0.0,2.0,0.0,7.0,3.5
2002,Blade II,187738.0,2151,1,1.0,2.5,32.5,1.0,0.0,2.5,0.0,37.0,4.5
2009,"Girlfriend Experience, The",1103982.0,1479,3,1.0,2.0,33.5,1.0,0.0,2.0,0.0,47.0,13.5
2011,Ruggine,1833781.0,4588,3,-1.0,1.0,3.0,0.0,1.0,2.0,1.0,12.0,9.0
2012,Cheesecake Casserole,1733114.0,4187,3,0.0,-1.5,3.0,0.0,0.0,0.0,1.5,5.0,2.0
2007,"Brothers Solomon, The",784972.0,6578,2,1.0,0.5,12.5,1.0,0.0,0.5,0.0,25.0,12.5
2003,Bad Santa,307987.0,7967,0,0.5,2.0,11.0,0.5,0.0,2.0,0.0,22.5,11.5
2013,"Last Keepers, The",1716767.0,4887,3,-1.0,0.5,2.0,0.0,1.0,1.5,1.0,12.0,10.0
2003,Bruce Almighty,315327.0,142,3,1.0,5.0,35.0,1.0,0.0,5.0,0.0,69.5,34.5
